time	V(n001)	V(n006)
2.635377184354074e-01	-3.019579e+01	3.019579e+01
2.641417217422979e-01	-3.019579e+01	3.019579e+01
2.644577543216703e-01	-3.019587e+01	3.019587e+01
2.648141820766542e-01	-3.019614e+01	3.019614e+01
2.652308686206760e-01	-3.019652e+01	3.019652e+01
2.656758005054061e-01	-3.019671e+01	3.019671e+01
2.663972357175002e-01	-3.019675e+01	3.019675e+01
2.673737982175002e-01	-3.019675e+01	3.019675e+01
2.683503607175002e-01	-3.019675e+01	3.019675e+01
2.693269232175002e-01	-3.019675e+01	3.019675e+01
2.703034857175002e-01	-3.019675e+01	3.019675e+01
2.712800482175002e-01	-3.019675e+01	3.019675e+01
2.722566107175002e-01	-3.019675e+01	3.019675e+01
2.732331732175002e-01	-3.019675e+01	3.019675e+01
2.740246257238454e-01	-3.019675e+01	3.019675e+01
2.743699073731692e-01	-3.019675e+01	3.019675e+01
2.747078999314752e-01	-3.019699e+01	3.019699e+01
2.751279461110865e-01	-3.019777e+01	3.019777e+01
2.755083153777703e-01	-3.019839e+01	3.019839e+01
2.761263436155554e-01	-3.019867e+01	3.019867e+01
2.762484139280554e-01	-3.019867e+01	3.019867e+01
2.764925545530554e-01	-3.019867e+01	3.019867e+01
2.769808358030554e-01	-3.019867e+01	3.019867e+01
2.779129932396104e-01	-3.019867e+01	3.019867e+01
2.788895557396104e-01	-3.019867e+01	3.019867e+01
2.798661182396104e-01	-3.019867e+01	3.019867e+01
2.808426807396104e-01	-3.019867e+01	3.019867e+01
2.818192432396104e-01	-3.019867e+01	3.019867e+01
2.827958057396104e-01	-3.019867e+01	3.019867e+01
2.837723682396104e-01	-3.019867e+01	3.019867e+01
2.842299561872705e-01	-3.019867e+01	3.019867e+01
2.845356635147573e-01	-3.019893e+01	3.019893e+01
2.849150502430051e-01	-3.019987e+01	3.019987e+01
2.852684194137362e-01	-3.020070e+01	3.020070e+01
2.857368724960810e-01	-3.020104e+01	3.020104e+01
2.864957389219360e-01	-3.020106e+01	3.020106e+01
2.874723014219360e-01	-3.020106e+01	3.020106e+01
2.884488639219360e-01	-3.020106e+01	3.020106e+01
2.894254264219360e-01	-3.020106e+01	3.020106e+01
2.904019889219360e-01	-3.020106e+01	3.020106e+01
2.913785514219360e-01	-3.020106e+01	3.020106e+01
2.923551139219360e-01	-3.020106e+01	3.020106e+01
2.933316764219360e-01	-3.020106e+01	3.020106e+01
